id,geometry,name,addr:street,addr:housenumber,addr:postcode,addr:city,addr:suburb,website,phone,email,operator,operator:type,opening_hours,description,education:languages,language:de,language:en,language:fr,language:es,language:ar,language:it,language:ru,language:tr,language:zh,wheelchair,start_date,wikidata,short_name,brand,neighborhood,district,neighborhood_id,district_id,latitude,longitude
486761746,POINT(13.40855 52.537096),GLS Sprachschule,Kastanienallee,82,10435,Berlin,Prenzlauer Berg,https://www.gls-berlin.de/sprachschule.html,,,,,,,,,,,,,,,,,,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.537096,13.40855
835553966,POINT(13.360206 52.489876),BSI Sprachenschule,Hauptstraße,159,10827,Berlin,Schöneberg,https://www.bsiberlin.com/,,,BSI Sprachenschule GmbH,,"Mo-Fr 08:45-13:30, 14:30-19:00",,,yes,yes,,,,,,,,,,,,,Schöneberg,Tempelhof-Schöneberg,0701,11007007,52.489876,13.360206
1192599547,POINT(13.400945 52.548212),Mi Escuela Berlin,Schwedter Straße,81,10437,Berlin,Prenzlauer Berg,https://www.mi-escuela-berlin.de/,+49 30 67949588,,,,,"Sprachschule Spanisch, Englisch, Deutsch",,yes,yes,,yes,,,,,,no,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.548212,13.400945
1747879909,POINT(13.416618 52.550299),Logo Sprachenschule,Wichertstraße,67,10439,Berlin,Prenzlauer Berg,https://www.logosprachenschule.de/,+49 30 40045236,info@logosprachenschule.de,,,,,,main,main,yes,yes,yes,yes,yes,,,no,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.550299,13.416618
2335058708,POINT(13.203398 52.53757),IQLingua,,,,,,,,,,,,,,,,,,,,,,,no,,,,,Spandau,Spandau,0501,11005005,52.53757,13.203398
2669906282,POINT(13.317938 52.488204),Die Neue Schule,Gieselerstraße,30a,10713,Berlin,,https://www.neueschule.de/,+49 30 8730373,,,,,,,,,,,,,,,,limited,,,,,Wilmersdorf,Charlottenburg-Wilmersdorf,0402,11004004,52.488204,13.317938
2849634983,POINT(13.348355 52.550511),Puntolingua,,,,,,https://www.puntolingua.it/,,,,,Mo-Th 15:00-17:00,,,,,,,,,,,,,,,,,Wedding,Mitte,0105,11001001,52.550511,13.348355
2856612773,POINT(13.469206 52.512625),Sprachkombinat,Scharnweberstraße,16,10247,Berlin,,https://www.sprachkombinat.org/,+49 30 609821921,buero@sprachkombinat.berlin,Citytainment UG,,,,spanish,,,,,,,,,,,,,,,Friedrichshain,Friedrichshain-Kreuzberg,0201,11002002,52.512625,13.469206
2979152058,POINT(13.462444 52.514701),Sprachenatelier Berlin,Frankfurter Allee,40,10247,Berlin,Friedrichshain,https://www.sprachenatelier-berlin.de/en,+49 30 27589855,,Sprachenatelier Berlin,,"Mo-Fr 09:00-20:00,11:00-18:00+",,,yes,yes,,yes,,,,,,no,2003,Q20736159,,,Friedrichshain,Friedrichshain-Kreuzberg,0201,11002002,52.514701,13.462444
3377281529,POINT(13.321688 52.514488),Sprach- und Kulturbörse (SKB),Fraunhoferstraße,33-36,10587,Berlin,Charlottenburg,,,,,,,,,,,,,,,,,,,,,,,Charlottenburg,Charlottenburg-Wilmersdorf,0401,11004004,52.514488,13.321688
3488847980,POINT(13.34982 52.49604),Orient Academy,Eisenacher Straße,106,10781,Berlin,Schöneberg,https://www.orient-academy.net/,+49 30 55954644,,,,,,,,,,,main,,,,,,,,,,Schöneberg,Tempelhof-Schöneberg,0701,11007007,52.49604,13.34982
3826013983,POINT(13.3516 52.49874),Hartnackschule - Private Sprachenschule,Motzstraße,5,10777,Berlin,Schöneberg,https://www.hartnackschule-berlin.de/,+49 30 2164459,,,,,,,,,,,,,,,,,,,,,Schöneberg,Tempelhof-Schöneberg,0701,11007007,52.49874,13.3516
3826451972,POINT(13.352053 52.49928),Hartnackschule - Private Sprachenschule,Nollendorfplatz,3-4,10777,Berlin,Schöneberg,,,,,,,,,,,,,,,,,,limited,,,,,Schöneberg,Tempelhof-Schöneberg,0701,11007007,52.49928,13.352053
4024075040,POINT(13.438204 52.479261),Die DeutSCHule,Karl-Marx-Straße,107,12043,Berlin,Neukölln,https://www.die-deutschule.de,+49 30 68085223,,,,,,,,,,,,,,,,no,,,,,Neukölln,Neukölln,0801,11008008,52.479261,13.438204
4253995592,POINT(13.406223 52.524787),Goethe-Institut Berlin,Neue Schönhauser Straße,20,10178,Berlin,Mitte,https://www.goethe.de/ins/de/de/ort/ber.html,+49 30 259063,,,,,,,main,,,,,,,,,,,,,,Mitte,Mitte,0101,11001001,52.524787,13.406223
4306025964,POINT(13.389299 52.531842),Humboldt-Institut,Invalidenstraße,19,10115,Berlin,Mitte,https://www.humboldt-institut.org/,,,,,,,,yes,,,,,,,,,,,,,,Mitte,Mitte,0101,11001001,52.531842,13.389299
4470092254,POINT(13.369329 52.564169),Sprachstube Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinickendorf,Reinickendorf,1201,11012012,52.564169,13.369329
4612831609,POINT(13.306419 52.500134),Wall Street English,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall Street English,Charlottenburg,Charlottenburg-Wilmersdorf,0401,11004004,52.500134,13.306419
4855590575,POINT(13.386704 52.518208),HU German Language Academy,,,,,,https://www.sprachenzentrum.hu-berlin.de/de/hu-gla/startseite,,,,,,,,,,,,,,,,,,,,HU GLA,,Mitte,Mitte,0101,11001001,52.518208,13.386704
5310305321,POINT(13.428388 52.533637),al andalus,,,,,,,,,,,"Th 18:30+, We 18:30+, Tu 18:30+, We 20:00+, Th 18:30+",,,,,,,,,,,,,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.533637,13.428388
5337905714,POINT(13.406375 52.553723),Lernraum,,,,,,,,,,,,,,,,,,,,,,,no,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.553723,13.406375
5518073093,POINT(13.428375 52.480601),TUH-Bildungszentrum,Mainzer Straße,39,12053,Berlin,Neukölln,,,,,,,,,,,,,,,,,,,,,,,Neukölln,Neukölln,0801,11008008,52.480601,13.428375
5664367248,POINT(13.371845 52.503108),EF education first,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiergarten,Mitte,0104,11001001,52.503108,13.371845
5682768696,POINT(13.570909 52.44782),Englischtraining Pragst,,,,,,https://www.englischtraining-pragst.de,,,,,,,,,,,,,,,,,,,,,,Köpenick,Treptow-Köpenick,0910,11009009,52.44782,13.570909
5762306488,POINT(13.431332 52.49569),Kalamon-Institut für arabische Sprache,Reichenberger Straße,125,10999,Berlin,Kreuzberg,https://kalamon.de,+49 30 22465193,info@kalamon.de,,,,,,,,,,,,,,,,,,,,Kreuzberg,Friedrichshain-Kreuzberg,0202,11002002,52.49569,13.431332
6609901765,POINT(13.370439 52.54966),Lernstatt e.V.,Gottschedstraße,4,13357,Berlin,Gesundbrunnen,http://lernstatt-ev.de/,,,,,,"Deutschkurse, Integrationskurse, Alphabetisierungskurse",,main,,,,,,,,,,,,,,Gesundbrunnen,Mitte,0106,11001001,52.54966,13.370439
6759018046,POINT(13.454952 52.518321),Anda Sprachschule,Rigaer Straße,104,10247,Berlin,,https://www.anda-sprachschule.de,,,,,Mo-Th 09:00-21:00; Fr 09:00-18:30,,,yes,yes,yes,yes,,yes,,,,,,,,,Friedrichshain,Friedrichshain-Kreuzberg,0201,11002002,52.518321,13.454952
7069855802,POINT(13.434098 52.531428),Tandem Berlin,Bötzowstraße,26,10407,Berlin,,https://tandem-berlin.de/,,,,,,,,,,,,,,,,,,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.531428,13.434098
7274050802,POINT(13.423383 52.473526),Sprachmafia,,,,,,https://sprachmafia.com/,,,,,"Mo, Th 13:00-19:00; Tu, We 9:30-19:00",,,yes,,,,,,,,,,,,,,Neukölln,Neukölln,0801,11008008,52.473526,13.423383
7346753354,POINT(13.298972 52.496075),Helen Doron English,,,,,,https://www.helendoron.de/branch/charlottenburg,+49 172 2969613,,,,,,,,main,,,,,,,,,,,,,Halensee,Charlottenburg-Wilmersdorf,0407,11004004,52.496075,13.298972
7692607306,POINT(13.318147 52.487672),Zentrale Schule für Japanisch Berlin,Brandenburgische Straße,79,10713,Berlin,Wilmersdorf,,,,Zentrale Schule für Japanisch Berlin e.V.,,,,,,,,,,,,,,,,,,,Wilmersdorf,Charlottenburg-Wilmersdorf,0402,11004004,52.487672,13.318147
7744626003,POINT(13.415596 52.512176),Kapitel Zwei,Am Köllnischen Park,1,10179,Berlin,,https://kapitel-zwei.de/,,berlin@kapitel-zwei.de,,,"Mo,Th 10:00-13:00,15:00-18:30; Tu,Fr 09:00-14:00; We 14:00-19:00",,,yes,,,,,,,,,,,,,,Mitte,Mitte,0101,11001001,52.512176,13.415596
7924099531,POINT(13.303529 52.503373),Sprachenzentrum Berlinek (Hauptsitz Charlottenburg),Dahlmannstraße,1A,10629,Berlin,,https://berlinek.de,+49 30 347 87 266,post@berlinek.de,Sprachenzentrum Berlinek Dr. Anna Weise e.K.,private,Mo-Fr 10:00-17:00,,,yes,yes,yes,yes,,yes,yes,,,no,,,,,Charlottenburg,Charlottenburg-Wilmersdorf,0401,11004004,52.503373,13.303529
8042827124,POINT(13.349897 52.486082),Helen Doron English,Belziger Straße,48,10823,Berlin,Schöneberg,,,,,,"""Kostenlose Probestunde unter: 0172 - 29 69 613""",,,,,,,,,,,,,,,,,Schöneberg,Tempelhof-Schöneberg,0701,11007007,52.486082,13.349897
8165609729,POINT(13.331826 52.464087),Sprachenfreunde,Fregestraße,38a,12161,Berlin,Steglitz,https://www.sprachen-freunde.de/,,,,,,,,yes,,,,,,,,,,,,,,Steglitz,Steglitz-Zehlendorf,0601,11006006,52.464087,13.331826
8309525362,POINT(13.340667 52.600097),Sprachenzentrum Berlinek (Filiale Reinickendorf-Wittenau),Maarer Straße,48,13435,Berlin,Wittenau,https://berlinek.de,+49 30 403 96 222,post-mv@berlinek.de,Sprachenzentrum Berlinek Dr. Anna Weise e.K.,private,Mo-Fr 10:00-17:00,Sprachschule Berlinek,,yes,yes,yes,yes,,yes,yes,,,,2014,,,,Wittenau,Reinickendorf,1209,11012012,52.600097,13.340667
9079009823,POINT(13.418668 52.538401),Tú También,Sredzkistraße,41,10435,,,,,,,private,Mo-Th 10:00-16:00; Fr 10:00-13:30,,,yes,,,yes,,,,,,,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.538401,13.418668
9733498458,POINT(13.287351 52.515549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlottenburg,Charlottenburg-Wilmersdorf,0401,11004004,52.515549,13.287351
10035794568,POINT(13.41285 52.544115),PharoDercks,Schönhauser Allee,58,10437,Berlin,Prenzlauer Berg,https://pharodercks.com/,+49 30 23573544,,,private,,,,yes,yes,yes,,,,,,,limited,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.544115,13.41285
10091513616,POINT(13.425162 52.533959),BWS Germanlingua,Winsstraße,57,10405,Berlin,Prenzlauer Berg,https://www.bws-germanlingua.de,+49 30 28093933,,,private,,,,,,,,,,,,,limited,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.533959,13.425162
10761456541,POINT(13.392518 52.489662),sprachWERK,Solmsstraße,30,10961,Berlin,,https://www.sprachwerk-berlin.de/,+49 30 69 53 54 55,info@sprachwerk-berlin.de,,,,,,yes,yes,yes,yes,,yes,,yes,,,,,,,Kreuzberg,Friedrichshain-Kreuzberg,0202,11002002,52.489662,13.392518
10916447719,POINT(13.358806 52.49618),Bluebell & Primrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schöneberg,Tempelhof-Schöneberg,0701,11007007,52.49618,13.358806
11034084362,POINT(13.470919 52.505839),Lingualand,Boxhagener Straße,64,10245,Berlin,,https://www.lingua-land.de,+49 30 983 75 106,,Lingualand GmbH,private,,,,yes,yes,yes,yes,,,,,,,,,,,Friedrichshain,Friedrichshain-Kreuzberg,0201,11002002,52.505839,13.470919
11046002201,POINT(13.490477 52.514454),Lichtenberger Sprachinstitut,,,,,,https://lichtenberger-sprachinstitut.de/,+49 30 29363140,,,,,,,,yes,,,,,,,,,1990,,,,Lichtenberg,Lichtenberg,1103,11011011,52.514454,13.490477
11365718745,POINT(13.463677 52.509155),Berlino Schule,,,,,,,,,,,Mo-Fr 08:30-19:30,,,,,,,,,,,,,,,,,Friedrichshain,Friedrichshain-Kreuzberg,0201,11002002,52.509155,13.463677
11375260763,POINT(13.417118 52.537096),Tu Tambien,Husemannstraße,3,10435,Berlin,,https://tu-tambien-sprachschule.de/,,,Eduardo Francisco Castro Narváez,,,,,yes,,,yes,,,,,,,,,,,Prenzlauer Berg,Pankow,0301,11003003,52.537096,13.417118
